"penguin","species","island","bill_length_mm","bill_depth_mm","sex","year","bill_sum","sex_recoded"
"p51","Adelie","Biscoe",39.6,17.7,"female","2008",57.3,"f"
"p52","Adelie","Biscoe",40.1,18.9,"male","2008",59,"m"
"p53","Adelie","Biscoe",35,17.9,"female","2008",52.9,"f"
"p54","Adelie","Biscoe",42,19.5,"male","2008",61.5,"m"
"p55","Adelie","Biscoe",34.5,18.1,"female","2008",52.6,"f"
"p56","Adelie","Biscoe",41.4,18.6,"male","2008",60,"m"
"p57","Adelie","Biscoe",39,17.5,"female","2008",56.5,"f"
"p58","Adelie","Biscoe",40.6,18.8,"male","2008",59.4,"m"
"p59","Adelie","Biscoe",36.5,16.6,"female","2008",53.1,"f"
"p60","Adelie","Biscoe",37.6,19.1,"male","2008",56.7,"m"
"p61","Adelie","Biscoe",35.7,16.9,"female","2008",52.6,"f"
"p62","Adelie","Biscoe",41.3,21.1,"male","2008",62.4,"m"
"p63","Adelie","Biscoe",37.6,17,"female","2008",54.6,"f"
"p64","Adelie","Biscoe",41.1,18.2,"male","2008",59.3,"m"
"p65","Adelie","Biscoe",36.4,17.1,"female","2008",53.5,"f"
"p66","Adelie","Biscoe",41.6,18,"male","2008",59.6,"m"
"p67","Adelie","Biscoe",35.5,16.2,"female","2008",51.7,"f"
"p68","Adelie","Biscoe",41.1,19.1,"male","2008",60.2,"m"
"p69","Adelie","Torgersen",35.9,16.6,"female","2008",52.5,"f"
"p70","Adelie","Torgersen",41.8,19.4,"male","2008",61.2,"m"
"p71","Adelie","Torgersen",33.5,19,"female","2008",52.5,"f"
"p72","Adelie","Torgersen",39.7,18.4,"male","2008",58.1,"m"
"p73","Adelie","Torgersen",39.6,17.2,"female","2008",56.8,"f"
"p74","Adelie","Torgersen",45.8,18.9,"male","2008",64.7,"m"
"p75","Adelie","Torgersen",35.5,17.5,"female","2008",53,"f"
"p76","Adelie","Torgersen",42.8,18.5,"male","2008",61.3,"m"
"p77","Adelie","Torgersen",40.9,16.8,"female","2008",57.7,"f"
"p78","Adelie","Torgersen",37.2,19.4,"male","2008",56.6,"m"
"p79","Adelie","Torgersen",36.2,16.1,"female","2008",52.3,"f"
"p80","Adelie","Torgersen",42.1,19.1,"male","2008",61.2,"m"
"p81","Adelie","Torgersen",34.6,17.2,"female","2008",51.8,"f"
"p82","Adelie","Torgersen",42.9,17.6,"male","2008",60.5,"m"
"p83","Adelie","Torgersen",36.7,18.8,"female","2008",55.5,"f"
"p84","Adelie","Torgersen",35.1,19.4,"male","2008",54.5,"m"
"p85","Adelie","Dream",37.3,17.8,"female","2008",55.1,"f"
"p86","Adelie","Dream",41.3,20.3,"male","2008",61.6,"m"
"p87","Adelie","Dream",36.3,19.5,"male","2008",55.8,"m"
"p88","Adelie","Dream",36.9,18.6,"female","2008",55.5,"f"
"p89","Adelie","Dream",38.3,19.2,"male","2008",57.5,"m"
"p90","Adelie","Dream",38.9,18.8,"female","2008",57.7,"f"
"p91","Adelie","Dream",35.7,18,"female","2008",53.7,"f"
"p92","Adelie","Dream",41.1,18.1,"male","2008",59.2,"m"
"p93","Adelie","Dream",34,17.1,"female","2008",51.1,"f"
"p94","Adelie","Dream",39.6,18.1,"male","2008",57.7,"m"
"p95","Adelie","Dream",36.2,17.3,"female","2008",53.5,"f"
"p96","Adelie","Dream",40.8,18.9,"male","2008",59.7,"m"
"p97","Adelie","Dream",38.1,18.6,"female","2008",56.7,"f"
"p98","Adelie","Dream",40.3,18.5,"male","2008",58.8,"m"
"p99","Adelie","Dream",33.1,16.1,"female","2008",49.2,"f"
"p100","Adelie","Dream",43.2,18.5,"male","2008",61.7,"m"
"p187","Gentoo","Biscoe",49.1,14.8,"female","2008",63.9,"f"
"p188","Gentoo","Biscoe",48.4,16.3,"male","2008",64.7,"m"
"p189","Gentoo","Biscoe",42.6,13.7,"female","2008",56.3,"f"
"p190","Gentoo","Biscoe",44.4,17.3,"male","2008",61.7,"m"
"p191","Gentoo","Biscoe",44,13.6,"female","2008",57.6,"f"
"p192","Gentoo","Biscoe",48.7,15.7,"male","2008",64.4,"m"
"p193","Gentoo","Biscoe",42.7,13.7,"female","2008",56.4,"f"
"p194","Gentoo","Biscoe",49.6,16,"male","2008",65.6,"m"
"p195","Gentoo","Biscoe",45.3,13.7,"female","2008",59,"f"
"p196","Gentoo","Biscoe",49.6,15,"male","2008",64.6,"m"
"p197","Gentoo","Biscoe",50.5,15.9,"male","2008",66.4,"m"
"p198","Gentoo","Biscoe",43.6,13.9,"female","2008",57.5,"f"
"p199","Gentoo","Biscoe",45.5,13.9,"female","2008",59.4,"f"
"p200","Gentoo","Biscoe",50.5,15.9,"male","2008",66.4,"m"
"p201","Gentoo","Biscoe",44.9,13.3,"female","2008",58.2,"f"
"p202","Gentoo","Biscoe",45.2,15.8,"male","2008",61,"m"
"p203","Gentoo","Biscoe",46.6,14.2,"female","2008",60.8,"f"
"p204","Gentoo","Biscoe",48.5,14.1,"male","2008",62.6,"m"
"p205","Gentoo","Biscoe",45.1,14.4,"female","2008",59.5,"f"
"p206","Gentoo","Biscoe",50.1,15,"male","2008",65.1,"m"
"p207","Gentoo","Biscoe",46.5,14.4,"female","2008",60.9,"f"
"p208","Gentoo","Biscoe",45,15.4,"male","2008",60.4,"m"
"p209","Gentoo","Biscoe",43.8,13.9,"female","2008",57.7,"f"
"p210","Gentoo","Biscoe",45.5,15,"male","2008",60.5,"m"
"p211","Gentoo","Biscoe",43.2,14.5,"female","2008",57.7,"f"
"p212","Gentoo","Biscoe",50.4,15.3,"male","2008",65.7,"m"
"p213","Gentoo","Biscoe",45.3,13.8,"female","2008",59.1,"f"
"p214","Gentoo","Biscoe",46.2,14.9,"male","2008",61.1,"m"
"p215","Gentoo","Biscoe",45.7,13.9,"female","2008",59.6,"f"
"p216","Gentoo","Biscoe",54.3,15.7,"male","2008",70,"m"
"p217","Gentoo","Biscoe",45.8,14.2,"female","2008",60,"f"
"p218","Gentoo","Biscoe",49.8,16.8,"male","2008",66.6,"m"
"p220","Gentoo","Biscoe",49.5,16.2,"male","2008",65.7,"m"
"p221","Gentoo","Biscoe",43.5,14.2,"female","2008",57.7,"f"
"p222","Gentoo","Biscoe",50.7,15,"male","2008",65.7,"m"
"p223","Gentoo","Biscoe",47.7,15,"female","2008",62.7,"f"
"p224","Gentoo","Biscoe",46.4,15.6,"male","2008",62,"m"
"p225","Gentoo","Biscoe",48.2,15.6,"male","2008",63.8,"m"
"p226","Gentoo","Biscoe",46.5,14.8,"female","2008",61.3,"f"
"p227","Gentoo","Biscoe",46.4,15,"female","2008",61.4,"f"
"p228","Gentoo","Biscoe",48.6,16,"male","2008",64.6,"m"
"p229","Gentoo","Biscoe",47.5,14.2,"female","2008",61.7,"f"
"p230","Gentoo","Biscoe",51.1,16.3,"male","2008",67.4,"m"
"p231","Gentoo","Biscoe",45.2,13.8,"female","2008",59,"f"
"p232","Gentoo","Biscoe",45.2,16.4,"male","2008",61.6,"m"
"p303","Chinstrap","Dream",50.5,18.4,"female","2008",68.9,"f"
"p304","Chinstrap","Dream",49.5,19,"male","2008",68.5,"m"
"p305","Chinstrap","Dream",46.4,17.8,"female","2008",64.2,"f"
"p306","Chinstrap","Dream",52.8,20,"male","2008",72.8,"m"
"p307","Chinstrap","Dream",40.9,16.6,"female","2008",57.5,"f"
"p308","Chinstrap","Dream",54.2,20.8,"male","2008",75,"m"
"p309","Chinstrap","Dream",42.5,16.7,"female","2008",59.2,"f"
"p310","Chinstrap","Dream",51,18.8,"male","2008",69.8,"m"
"p311","Chinstrap","Dream",49.7,18.6,"male","2008",68.3,"m"
"p312","Chinstrap","Dream",47.5,16.8,"female","2008",64.3,"f"
"p313","Chinstrap","Dream",47.6,18.3,"female","2008",65.9,"f"
"p314","Chinstrap","Dream",52,20.7,"male","2008",72.7,"m"
"p315","Chinstrap","Dream",46.9,16.6,"female","2008",63.5,"f"
"p316","Chinstrap","Dream",53.5,19.9,"male","2008",73.4,"m"
"p317","Chinstrap","Dream",49,19.5,"male","2008",68.5,"m"
"p318","Chinstrap","Dream",46.2,17.5,"female","2008",63.7,"f"
"p319","Chinstrap","Dream",50.9,19.1,"male","2008",70,"m"
"p320","Chinstrap","Dream",45.5,17,"female","2008",62.5,"f"
